timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes,budgetMiB,prefetchBlockMiB,prefetchDepth,case,costSeconds
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,taxi,659,1064016617,622,1019168751,0.9579,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,40.8196
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,lastfm,1216,1867138,75,5482913,2.9365,0.9383,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,3.8023
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,mm,2785,569189337,1939,511904306,0.8994,0.3038,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,101.8319
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,clickbench,1572,646756165,1358,672823988,1.0403,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,74.3165
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,fmnist,1216,6140828,951,63541325,10.3474,0.2179,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,48.1560
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,sift,1216,3142849,756,49700021,15.8137,0.3783,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,38.2740
20260729-191757,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,emb_real,1216,969764,25,1759614,1.8145,0.9794,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_random,1.2668
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,all,,11189,2588051441,5996,2782542610,1.0751,0.4641,0,0,0,6888162876,1089111.9,153399,2835240,10710814,0,0,0,0,0,128,1,0,forced:template_locality,326.3364
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,tpch,1309,295968743,580,154582423,0.5223,0.5569,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,30.4742
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,taxi,659,1064016617,634,1099976705,1.0338,0.0379,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,42.1902
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,lastfm,1216,1867138,21,3910049,2.0941,0.9827,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,1.0873
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,mm,2785,569189337,1883,635477021,1.1165,0.3239,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,100.2104
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,clickbench,1572,646756165,1352,711186480,1.0996,0.1399,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,74.3824
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,fmnist,1216,6140828,841,110116045,17.9318,0.3084,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,43.1001
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,sift,1216,3142849,678,66124097,21.0395,0.4424,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,34.5306
20260729-191814,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,emb_real,1216,969764,7,1169790,1.2063,0.9942,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:template_locality,0.3612
