timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,fmnist,1216,6140828,401,399747197,65.0966,0.6702,4,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,sift,1216,3142849,684,66412064,21.1312,0.4375,3,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171007,headroom_b128_block1_depth0_decision_tree,decision_tree,prefix,emb_real,1216,969764,11,1722639,1.7763,0.9910,2,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,all,,11189,2588051441,6211,2434515515,0.9407,0.4449,0,0,0,6845324835,627993.4,173817,2988961,12031482,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,tpch,1309,295968743,655,121192773,0.4095,0.4996,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,taxi,659,1064016617,622,1018688988,0.9574,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9975,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,mm,2785,569189337,1899,506631363,0.8901,0.3181,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,clickbench,1572,646756165,1358,671919051,1.0389,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,fmnist,1216,6140828,951,63541325,10.3474,0.2179,0,0,0,0,0.0,0,0,0,0,0,0,0,0
